raw_names,fixed_names
FP1,Fp1
FZ,Fz
F7,F7
FC5,FC5
P3,P3
P9,P9
T8,T8
CZ,Cz
F10,F10
F4,F4
F3,F3
FC1,FC1
PZ,Pz
O1,O1
CP6,CP6
FC2,FC2
F9,F9
P7,P7
C4,C4
GND,GND
FCC5H,FCC5h
CCP4H,CCP4h
CPP2H,CPP2h
FCC6H,FCC6h
TTP8H,TTP8h
TTP7H,TTP7h
FFC5H,FFC5h
FT9,FT9
FTT7H,FTT7h
FCC3H,FCC3h
CCP5H,CCP5h
TP9,TP9
TPP7H,TPP7h
CPP3H,CPP3h
PPO3H,PPO3h
PPO9H,PPO9h
POO1,POO1
DC01,DC01
DC02,DC02
DC03,DC03
DC04,DC04
DC05,DC05
DC09,DC09
DC10,DC10
DC11,DC11
DC12,DC12
DC13,DC13
DC14,DC14
DC15,DC15
DC16,DC16
$CPP2H,DC17
$FCC6H,DC18
PO9,PO9
I1,I1
I2,I2
PO10,PO10
POO2,POO2
OI1H,OI1h
PPO4H,PPO4h
CPP4H,CPP4h
TPP8H,TPP8h
TP10,TP10
OI2H,OI2h
CCP2H,CCP2h
FCC4H,FCC4h
FTT8H,FTT8h
FT10,FT10
FFC6H,FFC6h
FFC2H,FFC2h
AFP1,AFp1
AFF1H,AFF1h
AFF5H,AFF5h
FFT7H,FFT7h
AFF6H,AFF6h
FFC1H,FFC1h
FFT8H,FFT8h
AFP2,AFp2
CCP3H,CCP3h
AFF2H,AFF2h
CPP5H,CPP5h
TPP9H,TPP9h
CPP6H,CPP6h
POO10H,POO10h
POO9H,POO9h
FT7,FT7
FC3,FC3
T7,T7
CP5,CP5
IZ,Iz
POZ,POz
P10,P10
P8,P8
C6,C6
C2,C2
AF3,AF3
AFZ,AFz
CP3,CP3
P1,P1
P6,P6
CPZ,CPz
F6,F6
AF4,AF4
F5,F5
C1,C1
C3,C3
CP1,CP1
PO3,PO3
PO4,PO4
O2,O2
P4,P4
TP8,TP8
FC4,FC4
AF7,AF7
F1,F1
TP7,TP7
P5,P5
PO8,PO8
CP4,CP4
FT8,FT8
AF8,AF8
PPO5H,PPO5h
PPO6H,PPO6h
C5,C5
PO7,PO7
FC6,FC6
FP2,Fp2
OZ,Oz
CP2,CP2
TPP10H,TPP10h
FFC4H,FFC4h
FCC2H,FCC2h
AFF3H,AFF3h
XX-0,Fpz
XX-1,FCz
P2,P2
F2,F2
F8,F8
XX-2,AFF4h
